id,tweet_id,engagement,effective_length,polarity,subjectivity,average_engagement,common_words,common_ht_words,common_hts
426146744,1105903692644050000,1,0,0.0000,0.0000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1101982449435840000,1984,109,0.4000,0.9000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1099104258383840000,1142,63,0.0000,0.0000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1098405644862910000,936,93,0.0000,0.0000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
426146744,1087356518691940000,28,53,0.0000,0.0000,457.25,"[('creyentes', 4), ('bavaria', 4), ('rt', 3)]","[('creyentes', 4), ('bavaria', 3), ('efecty', 1)]","[('Creyentes', 4), ('MeUnoBavaria', 3), ('EfectyElGiroOficial', 1)]"
162926902,1180194450921980000,0,106,0.0000,0.0000,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1180165402845960000,178,131,0.7000,0.5667,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1179881308580910000,58,185,0.1745,0.4000,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1179847612767350000,0,146,0.2000,0.3500,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1179422945120280000,127,112,-0.1000,0.3000,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1179114716297400000,73,233,-0.0212,0.3667,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1178824182601260000,126,61,0.2833,0.5167,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1178808255461620000,0,87,0.0000,0.0000,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1178375671661430000,2,250,0.2000,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1177636429071090000,0,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1177636407134870000,0,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1177616602776380000,61,140,0.1000,0.1000,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
