source,target
397366316,145774770
397366316,288925780
397366316,172822388
397366316,165590284
397366316,189534765
397366316,173129929
397366316,67962687
397366316,150058141
397366316,116518454
397366316,322623953
397366316,70734968
397366316,116633016
397366316,458755731
397366316,170904303
397366316,128009878
397366316,170799488
397366316,219508242
397366316,220020817
240822201,229090782
229090782,57174405
229090782,114469124
229090782,74776409
229090782,1582987716
229090782,53936897
229090782,50815191
229090782,14834302
229090782,19236074
229090782,105957857
229090782,9633802
229090782,52819651
229090782,22488241
229090782,219508242
229090782,18079284
229090782,52558480
229090782,42274372
229090782,14050583
240822201,703680708787568640
703680708787568640,964304025373106176
703680708787568640,960943470390272006
703680708787568640,819914034
703680708787568640,127588840
703680708787568640,1362851972
703680708787568640,83917616
703680708787568640,847591188332990466
703680708787568640,146985042
703680708787568640,70493521
703680708787568640,1206515077
703680708787568640,4924567721
703680708787568640,1468122253
703680708787568640,2328646824
703680708787568640,1466003185
703680708787568640,2873771193
703680708787568640,36087400
703680708787568640,108996839
703680708787568640,51164886
703680708787568640,60161414
703680708787568640,4923782098
703680708787568640,370873343
703680708787568640,2250278832
703680708787568640,823348278830002177
703680708787568640,22386555
703680708787568640,2375590921
703680708787568640,316574246
703680708787568640,722851538293501954
703680708787568640,135953646
703680708787568640,187586888
703680708787568640,18396299
240822201,211940425
211940425,125360958
211940425,41048726
211940425,18172386
211940425,130556855
211940425,68961687
211940425,292072914
211940425,168687634
211940425,386895999
211940425,491619082
211940425,172936338
211940425,125981120
211940425,815911244
211940425,18079284
211940425,83766201
211940425,80640875
211940425,20560294
211940425,173727391
211940425,64400105
211940425,84078498
211940425,15404821
211940425,138111091
211940425,15232111
211940425,71543713
211940425,14050583
211940425,252134272
211940425,69679591
211940425,26256322
211940425,82448700
211940425,66690667
211940425,251104300
240822201,58648367
58648367,173333969
58648367,38533136
58648367,1733793840
58648367,846252500
58648367,1001127206930862081
58648367,137908875
58648367,312422930
58648367,2399928834
58648367,2400080066
58648367,289506642
58648367,281217900
58648367,3520340477
58648367,132522561
58648367,1022259818361483264
58648367,2383874413
58648367,158149080
58648367,235347962
58648367,732690384942465025
58648367,909108175256932352
